opponent team,venue,match condition,Toss,Bat first,Captaincy,Due factor,All rounder,Fast bowler,Tamim,Shakib,Mushfiq,Mash,Mahmudullah,Rubel,Mustafiz,Result
ENG,HM,Day/Night,ENG,BD,Mashrafe,0,3,4,1,1,1,1,1,0,0,Win
ENG,HM,Day/Night,ENG,ENG,Mashrafe,0,3,4,1,1,1,1,1,0,0,Loss
ENG,Away,Day/Night,ENG,BD,Mashrafe,0,3,3,1,1,1,1,1,1,0,Win
ENG,HM,Day/Night,BD,ENG,sakib,1,2,3,1,1,1,0,1,1,0,Win
ENG,Away,Day,BD,ENG,Mashrafe,0,3,2,1,1,0,1,1,1,0,Loss
ENG,Away,Day,ENG,BD,Mashrafe,0,3,3,1,1,0,1,1,1,0,Win
ENG,Away,Day/Night,BD,BD,Mashrafe,0,2,3,1,1,1,1,1,0,0,Loss
AUS,HM,Day/Night,AUS,AUS,sakib,0,2,4,1,1,1,1,1,0,0,Loss
AUS,HM,Day,BD,BD,sakib,0,2,3,1,1,1,0,1,1,0,Loss
AUS,HM,Day,BD,AUS,sakib,0,2,3,1,1,1,1,1,0,0,Loss
AUS,Away,Day,AUS,AUS,Ashraful,0,3,4,1,1,0,1,1,0,0,Loss
AUS,Away,Day,BD,BD,Ashraful,0,2,2,1,1,0,1,0,0,0,Loss
AUS,Away,Day,AUS,BD,basar,0,2,2,1,1,1,1,0,0,0,Loss
SCOT,Away,Day,BD,SCOT,Mashrafe,0,3,4,1,1,1,1,1,1,0,Win
SCOT,HM,Day,SCOT,BD,Mashrafe,0,2,2,0,1,1,1,0,0,0,Win
SCOT,HM,Day,BD,SCOT,basar,0,3,2,0,1,1,1,0,0,0,Win
AFG,HM,Day/Night,BD,AFG,Mushfiq,0,2,2,0,0,1,0,0,1,0,Loss
AFG,HM,Day/Night,BD,BD,Mashrafe,0,3,3,1,1,1,1,1,1,0,Win
AFG,HM,Day,Afg,BD,Mashrafe,0,3,4,1,1,1,1,1,1,0,Loss
AFG,HM,Day/Night,BD,BD,Mashrafe,0,3,4,1,1,1,1,1,0,0,Win
AFG,Away,Day/Night,Afg,Afg,Mashrafe,0,3,4,0,1,0,1,1,1,0,Loss
AFG,Away,Day/Night,BD,BD,Mashrafe,0,3,4,0,1,1,1,1,0,0,Win
IRE,Away,Day,IRE,IRE,Mashrafe,0,2,3,1,1,1,1,1,0,0,Win
IRE,Away,Day,IRE,IRE,Bashar,0,2,2,1,1,1,1,0,0,0,Loss
IRE,Away,Day,IRE,IRE,Mashrafe,0,4,4,1,1,1,1,1,1,0,Win
IRE,Away,Day,BD,BD,Mashrafe,0,4,3,1,1,1,1,1,1,1,Win
IRE,HM,Day/Night,BD,BD,Ashraful,1,3,2,1,1,0,0,1,0,0,Win
IRE,HM,,IRE,IRE,Ashraful,1,3,2,1,1,0,1,1,0,0,Win
